CountryName,CountryCode,populationOf1960,populationOf1970,populationOf1980,populationOf1990,populationOf2000,populationOf2010,populationOf2016
Equatorial Guinea,GNQ,255323,306515,255325,426846,614323,951104,1221490
Greece,GRC,8331725,8792806,9642505,10196792,10805808,11121341,10770521
Grenada,GRD,89869,94426,89005,96283,101619,104677,107317
Greenland,GRL,32500,46400,50200,55600,56200,56905,56186
Guatemala,GTM,4210747,5621792,7283459,9263813,11650743,14630417,16582469
Guam,GUM,66742,83877,104133,130482,155329,159444,162896
Guyana,GUY,571819,704934,780153,743309,753301,746556,773303
High income,HIC,754609927,846883364,927555800,997353719,1070496409,1149513780,1189954263
Hong Kong,HKG,3075605,3959000,5063100,5704500,6665000,7024200,7336600
Honduras,HND,2038637,2716659,3678286,4955328,6524283,8194778,9112867
Croatia,HRV,4140000,4411000,4588000,4780000,4426000,4417781,4174349
Haiti,HTI,3866159,4708642,5688836,7099732,8549200,9999617,10847334
Hungary,HUN,9983967,10337910,10711122,10373988,10210971,10000023,9814023
Indonesia,IDN,87792515,114834780,147490365,181436821,211540429,242524123,261115456
Isle of Man,IMN,48442,55425,63551,68429,72554,80072,83737
India,IND,449480608,553578513,696783517,870133480,1053050912,1230980691,1324171354
Ireland,IRL,2828600,2957250,3412800,3513974,3805174,4560155,4749777
"Iran, Islamic Rep.",IRN,21906903,28514010,38668220,56226185,66131854,74567511,80277428
Iraq,IRQ,7289761,9917983,13653356,17469005,23565413,30762701,37202572
Iceland,ISL,175574,204438,228138,254826,281205,318041,335439
Israel,ISR,2114020,2974000,3878000,4660000,6289000,7623600,8546000
Italy,ITA,50199700,53821850,56433883,56719240,56942108,59277417,60627498
Jamaica,JAM,1628252,1875381,2163045,2424242,2656864,2817210,2881355
Jordan,JOR,932257,1718913,2374422,3560582,5103130,7182390,9455802
Japan,JPN,92500572,104345000,116782000,123537000,126843000,128070000,126994511
Kazakhstan,KAZ,9714260,12757245,14518924,16348000,14883626,16321581,17794397
Kenya,KEN,8105440,11252492,16268990,23402507,31450483,41350152,48461567
Kyrgyz Republic,KGZ,2172300,2959900,3617400,4391200,4898400,5447900,6079500
Cambodia,KHM,5722370,6994848,6692107,8973342,12152354,14308740,15762370
Kiribati,KIR,41233,51178,59339,72412,84406,102652,114395
St. Kitts and Nevis,KNA,51195,44885,43210,40834,45374,51445,54821
"Korea, Rep.",KOR,25012374,32240827,38123775,42869283,47008111,49554112,51245707
Lao PDR,LAO,2120896,2688428,3258144,4258472,5329304,6246274,6758353
Lebanon,LBN,1804926,2297389,2605293,2703016,3235366,4337141,6006668
Liberia,LBR,1120313,1416529,1888314,2097232,2884522,3948125,4613823
Libya,LBY,1448417,2133526,3219466,4436661,5355751,6169140,6293253
St. Lucia,LCA,89897,104160,117987,138185,156949,172580,178015
Liechtenstein,LIE,16495,21265,25866,28747,33286,36003,37666
Sri Lanka,LKA,9874481,12485756,15035856,17329713,18781938,20198353,21203000
